Business,2035618,51444
Education,1576412,177833
Entertainment,32987192,2459776
Finance,2096606,201429
Food & Drink,2528890,1030214
Games,1142750048,42573119
Health & Fitness,432988,97304
Lifestyle,2859672,149335
Navigation,62616,12811
News,23739091,829587
Photo & Video,288625052,7960710
Productivity,20866851,702827
Reference,13927472,1039492
Shopping,25501546,671562
Social Networking,348219418,10776507
Sports,1752196,356063
Travel,19724621,1083719
Utilities,2384261,306815
Weather,1312037,112603
