name,total_profit,rights_purchase_expense,,,,,,,,,
ASOS,"479,000.00","25,000.00",,,,,,,,,Generally Speaking
Bible,"479,000.00","25,000.00",,,,,,,,,* Apps that cost less than $2.50 on mobile stores are more profitable for us.
Cytus,"479,000.00","25,000.00",,,,,,,,,* Positive ratings are better and ensure income over time.
Deck Heroes: Legacy,"479,000.00","25,000.00",,,,,,,,,"* Profitable App Store categories include Reference, Book, Photo & Video, and Productivity."
Domino's Pizza USA,"479,000.00","25,000.00",,,,,,,,,* Apps are most profitable when listed on both the App Store and the Play Store.
"Egg, Inc.","479,000.00","25,000.00",,,,,,,,,
Fernanfloo,"479,000.00","25,000.00",,,,,,,,,
H*nest Meditation,"479,000.00","25,000.00",,,,,,,,,
Narcos: Cartel Wars,"479,000.00","25,000.00",,,,,,,,,
PewDiePie's Tuber Simulator,"479,000.00","25,000.00",,,,,,,,,
The Guardian,"479,000.00","25,000.00",,,,,,,,,
Toy Blast,"479,000.00","25,000.00",,,,,,,,,
Zombie Catchers,"479,000.00","25,000.00",,,,,,,,,
Five Nights at Freddy's 3,"474,100.00","29,900.00",,,,,,,,,
Riptide GP: Renegade,"474,100.00","29,900.00",,,,,,,,,
Tsuro - The Game of the Path,"474,100.00","29,900.00",,,,,,,,,
Retro City Rampage DX,"471,290.08","32,709.92",,,,,,,,,
Toca Life: City,"465,130.41","38,869.59",,,,,,,,,
Toca Life: City,"465,129.97","38,870.03",,,,,,,,,
Adobe Illustrator Draw,"455,000.00","25,000.00",,,,,,,,,
Airbnb,"455,000.00","25,000.00",,,,,,,,,
AJ Jump: Animal Jam Kangaroos!,"455,000.00","25,000.00",,,,,,,,,
Alto's Adventure,"455,000.00","25,000.00",,,,,,,,,
Angry Birds 2,"455,000.00","25,000.00",,The Theme is Halloween!,,,,,,,
Angry Birds Blast,"455,000.00","25,000.00",,,,,,,,,
Angry Birds Epic RPG,"455,000.00","25,000.00",,4 Safe Bets,,,,,,,
Angry Birds Rio,"455,000.00","25,000.00",,,Zombie Catchers,,A spooky adventure with everyone’s favorite monster!,,,,
Animal Jam - Play Wild!,"455,000.00","25,000.00",,,Five Nights at Freddy’s 3,,The legendary franchise is terrifying.,,,,
Army of Heroes,"455,000.00","25,000.00",,,Candy Crush Saga,,We all know Halloween is about candy!,,,,
Asphalt 8: Airborne,"455,000.00","25,000.00",,,Candy Crush Soda Saga,,...so why not branch out to other sugary sweets?,,,,
Bad Piggies HD,"455,000.00","25,000.00",,,,,,,,,
Bejeweled Classic,"455,000.00","25,000.00",,1 Risky Pick,,,,,,,
Boom Beach,"455,000.00","25,000.00",,,The Bible,,Some would say it’s the reason for the season!,,,,
Boomerang from Instagram,"455,000.00","25,000.00",,,,,"All Hallow’s Eve isn’t going to remember itself, you know.",,,,
Bullet Force,"455,000.00","25,000.00",,,,,,,,,
Call of Duty®: Heroes,"455,000.00","25,000.00",,,,,,,,,
Candy Crush Saga,"455,000.00","25,000.00",,,,,,,,,
Candy Crush Soda Saga,"455,000.00","25,000.00",,,,,,,,,
Chase Mobile,"455,000.00","25,000.00",,,,,,,,,
